S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Win Team
841,Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,2015-02-18,ODI # 3605,Team 2
842,U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,2015-02-19,ODI # 3606,Team 2
843,New Zealand,England,New Zealand,8 wickets,Wellington,2015-02-20,ODI # 3607,Team 1
844,Pakistan,West Indies,West Indies,150 runs,Christchurch,2015-02-21,ODI # 3608,Team 2
845,Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,2015-02-22,ODI # 3609,Team 2
846,India,South Africa,India,130 runs,Melbourne,2015-02-22,ODI # 3610,Team 1
847,England,Scotland,England,119 runs,Christchurch,2015-02-23,ODI # 3611,Team 1
848,West Indies,Zimbabwe,West Indies,73 runs,Canberra,2015-02-24,ODI # 3612,Team 1
849,Ireland,U.A.E.,Ireland,2 wickets,Brisbane,2015-02-25,ODI # 3613,Team 1
850,Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,2015-02-26,ODI # 3614,Team 1
851,Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,2015-02-26,ODI # 3615,Team 2
852,South Africa,West Indies,South Africa,257 runs,Sydney,2015-02-27,ODI # 3616,Team 1
853,New Zealand,Australia,New Zealand,1 wicket,Auckland,2015-02-28,ODI # 3617,Team 1
854,India,U.A.E.,India,9 wickets,Perth,2015-02-28,ODI # 3618,Team 1
855,England,Sri Lanka,Sri Lanka,9 wickets,Wellington,2015-03-01,ODI # 3619,Team 2
856,Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,2015-03-01,ODI # 3620,Team 1
857,Ireland,South Africa,South Africa,201 runs,Canberra,2015-03-03,ODI # 3621,Team 2
858,Pakistan,U.A.E.,Pakistan,129 runs,Napier,2015-03-04,ODI # 3622,Team 1
859,Australia,Afghanistan,Australia,275 runs,Perth,2015-03-04,ODI # 3623,Team 1
860,Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,2015-03-05,ODI # 3624,Team 1
861,India,West Indies,India,4 wickets,Perth,2015-03-06,ODI # 3625,Team 1
862,Pakistan,South Africa,Pakistan,29 runs,Auckland,2015-03-07,ODI # 3626,Team 1
863,Ireland,Zimbabwe,Ireland,5 runs,Hobart,2015-03-07,ODI # 3627,Team 1
864,New Zealand,Afghanistan,New Zealand,6 wickets,Napier,2015-03-08,ODI # 3628,Team 1
865,Australia,Sri Lanka,Australia,64 runs,Sydney,2015-03-08,ODI # 3629,Team 1
866,Bangladesh,England,Bangladesh,15 runs,Adelaide,2015-03-09,ODI # 3630,Team 1
867,India,Ireland,India,8 wickets,Hamilton,2015-03-10,ODI # 3631,Team 1
868,Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,2015-03-11,ODI # 3632,Team 2
869,South Africa,U.A.E.,South Africa,146 runs,Wellington,2015-03-12,ODI # 3633,Team 1
870,New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,2015-03-13,ODI # 3634,Team 1
871,Afghanistan,England,England,9 wickets,Sydney,2015-03-13,ODI # 3635,Team 2
872,India,Zimbabwe,India,6 wickets,Auckland,2015-03-14,ODI # 3636,Team 1
873,Australia,Scotland,Australia,7 wickets,Hobart,2015-03-14,ODI # 3637,Team 1
874,U.A.E.,West Indies,West Indies,6 wickets,Napier,2015-03-15,ODI # 3638,Team 2
875,Ireland,Pakistan,Pakistan,7 wickets,Adelaide,2015-03-15,ODI # 3639,Team 2
876,South Africa,Sri Lanka,South Africa,9 wickets,Sydney,2015-03-18,ODI # 3640,Team 1
877,Bangladesh,India,India,109 runs,Melbourne,2015-03-19,ODI # 3641,Team 2
878,Australia,Pakistan,Australia,6 wickets,Adelaide,2015-03-20,ODI # 3642,Team 1
879,New Zealand,West Indies,New Zealand,143 runs,Wellington,2015-03-21,ODI # 3643,Team 1
880,New Zealand,South Africa,New Zealand,4 wickets,Auckland,2015-03-24,ODI # 3644,Team 1
881,Australia,India,Australia,95 runs,Sydney,2015-03-26,ODI # 3645,Team 1
882,Australia,New Zealand,Australia,7 wickets,Melbourne,2015-03-29,ODI # 3646,Team 1
883,Bangladesh,Pakistan,Bangladesh,79 runs,Mirpur,2015-04-17,ODI # 3647,Team 1
884,Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur,2015-04-19,ODI # 3648,Team 1
885,Bangladesh,Pakistan,Bangladesh,8 wickets,Mirpur,2015-04-22,ODI # 3649,Team 1
886,Ireland,England,no result,-,Dublin (Malahide),2015-05-08,ODI # 3650,No Result
887,Pakistan,Zimbabwe,Pakistan,41 runs,Lahore,2015-05-26,ODI # 3651,Team 1
888,Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore,2015-05-29,ODI # 3652,Team 1
889,Pakistan,Zimbabwe,no result,-,Lahore,2015-05-31,ODI # 3653,No Result
890,England,New Zealand,England,210 runs,Birmingham,2015-06-09,ODI # 3654,Team 1
891,England,New Zealand,New Zealand,13 runs,The Oval,2015-06-12,ODI # 3655,Team 2
892,England,New Zealand,New Zealand,3 wickets,Southampton,2015-06-14,ODI # 3656,Team 2
893,England,New Zealand,England,7 wickets,Nottingham,2015-06-17,ODI # 3657,Team 1
894,Bangladesh,India,Bangladesh,79 runs,Mirpur,2015-06-18,ODI # 3658,Team 1
895,England,New Zealand,England,3 wickets,Chester-le-Street,2015-06-20,ODI # 3659,Team 1
896,Bangladesh,India,Bangladesh,6 wickets,Mirpur,2015-06-21,ODI # 3660,Team 1
897,Bangladesh,India,India,77 runs,Mirpur,2015-06-24,ODI # 3661,Team 2
898,Zimbabwe,India,India,4 runs,Harare,2015-07-10,ODI # 3662,Team 2
899,Bangladesh,South Africa,South Africa,8 wickets,Mirpur,2015-07-10,ODI # 3663,Team 2
900,Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla,2015-07-11,ODI # 3664,Team 2
901,Zimbabwe,India,India,62 runs,Harare,2015-07-12,ODI # 3665,Team 2
902,Bangladesh,South Africa,Bangladesh,7 wickets,Mirpur,2015-07-12,ODI # 3666,Team 1
903,Zimbabwe,India,India,83 runs,Harare,2015-07-14,ODI # 3667,Team 2
904,Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram,2015-07-15,ODI # 3668,Team 1
905,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele,2015-07-15,ODI # 3669,Team 1
906,Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS),2015-07-19,ODI # 3670,Team 2
907,Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS),2015-07-22,ODI # 3671,Team 2
908,Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,2015-07-26,ODI # 3672,Team 1
909,Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare,2015-08-02,ODI # 3673,Team 1
910,Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,2015-08-04,ODI # 3674,Team 2
911,Zimbabwe,New Zealand,New Zealand,38 runs,Harare,2015-08-07,ODI # 3675,Team 2
912,South Africa,New Zealand,South Africa,20 runs,Centurion,2015-08-19,ODI # 3676,Team 1
913,South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom,2015-08-23,ODI # 3677,Team 2
914,South Africa,New Zealand,South Africa,62 runs,Durban,2015-08-26,ODI # 3678,Team 1
915,Ireland,Australia,Australia,23 runs,Belfast,2015-08-27,ODI # 3679,Team 2
916,England,Australia,Australia,59 runs,Southampton,2015-09-03,ODI # 3680,Team 2
917,England,Australia,Australia,64 runs,Lord's,2015-09-05,ODI # 3681,Team 2
918,England,Australia,England,93 runs,Manchester,2015-09-08,ODI # 3682,Team 1
919,England,Australia,England,3 wickets,Leeds,2015-09-11,ODI # 3683,Team 1
920,England,Australia,Australia,8 wickets,Manchester,2015-09-13,ODI # 3684,Team 2
921,Zimbabwe,Pakistan,Pakistan,131 runs,Harare,2015-10-01,ODI # 3685,Team 2
922,Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare,2015-10-03,ODI # 3686,Team 1
923,Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,2015-10-05,ODI # 3687,Team 2
924,Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,2015-10-09,ODI # 3688,Team 1
925,India,South Africa,South Africa,5 runs,Kanpur,2015-10-11,ODI # 3689,Team 2
926,Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,2015-10-11,ODI # 3690,Team 1
927,Zimbabwe,Ireland,Ireland,2 wickets,Harare,2015-10-13,ODI # 3691,Team 2
928,India,South Africa,India,22 runs,Indore,2015-10-14,ODI # 3692,Team 1
929,Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,2015-10-16,ODI # 3693,Team 1
930,Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo,2015-10-18,ODI # 3694,Team 2
931,India,South Africa,South Africa,18 runs,Rajkot,2015-10-18,ODI # 3695,Team 2
932,Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,2015-10-20,ODI # 3696,Team 1
933,Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo,2015-10-22,ODI # 3697,Team 2
934,India,South Africa,India,35 runs,Chennai,2015-10-22,ODI # 3698,Team 1
935,Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo,2015-10-24,ODI # 3699,Team 2
936,India,South Africa,South Africa,214 runs,Wankhede,2015-10-25,ODI # 3700,Team 2
937,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS),2015-11-01,ODI # 3701,Team 1
938,Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS),2015-11-04,ODI # 3702,Team 1
939,Bangladesh,Zimbabwe,Bangladesh,145 runs,Mirpur,2015-11-07,ODI # 3703,Team 1
940,Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele,2015-11-07,ODI # 3704,Team 1
941,Bangladesh,Zimbabwe,Bangladesh,58 runs,Mirpur,2015-11-09,ODI # 3705,Team 1
942,Bangladesh,Zimbabwe,Bangladesh,61 runs,Mirpur,2015-11-11,ODI # 3706,Team 1
943,England,Pakistan,Pakistan,6 wickets,Abu Dhabi,2015-11-11,ODI # 3707,Team 2
944,England,Pakistan,England,95 runs,Abu Dhabi,2015-11-13,ODI # 3708,Team 1
945,U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai,2015-11-16,ODI # 3709,Team 2
946,England,Pakistan,England,6 wickets,Sharjah,2015-11-17,ODI # 3710,Team 1
947,U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai,2015-11-18,ODI # 3711,Team 2
948,England,Pakistan,England,84 runs,Dubai (DSC),2015-11-20,ODI # 3712,Team 1
949,Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah,2015-12-25,ODI # 3713,Team 1
950,New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch,2015-12-26,ODI # 3714,Team 1
951,New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch,2015-12-28,ODI # 3715,Team 1
952,Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah,2015-12-29,ODI # 3716,Team 1
953,New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson,2015-12-31,ODI # 3717,Team 2
954,New Zealand,Sri Lanka,no result,-,Nelson,2016-01-02,ODI # 3718,No Result
955,Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah,2016-01-02,ODI # 3719,Team 2
956,Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah,2016-01-04,ODI # 3720,Team 2
957,New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui,2016-01-05,ODI # 3721,Team 1
958,Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah,2016-01-06,ODI # 3722,Team 1
959,Australia,India,Australia,5 wickets,Perth,2016-01-12,ODI # 3723,Team 1
960,Australia,India,Australia,7 wickets,Brisbane,2016-01-15,ODI # 3724,Team 1
961,Australia,India,Australia,3 wickets,Melbourne,2016-01-17,ODI # 3725,Team 1
962,Australia,India,Australia,25 runs,Canberra,2016-01-20,ODI # 3726,Team 1
963,Australia,India,India,6 wickets,Sydney,2016-01-23,ODI # 3727,Team 2
964,New Zealand,Pakistan,New Zealand,70 runs,Wellington,2016-01-25,ODI # 3728,Team 1
965,Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok,2016-01-26,ODI # 3729,Team 1
966,New Zealand,Pakistan,New Zealand,3 wickets,Auckland,2016-01-31,ODI # 3730,Team 1
967,New Zealand,Australia,New Zealand,159 runs,Auckland,2016-02-03,ODI # 3731,Team 1
968,South Africa,England,England,39 runs,Bloemfontein,2016-02-03,ODI # 3732,Team 2
969,New Zealand,Australia,Australia,4 wickets,Wellington,2016-02-06,ODI # 3733,Team 2
970,South Africa,England,England,5 wickets,Gqeberha,2016-02-06,ODI # 3734,Team 2
971,New Zealand,Australia,New Zealand,55 runs,Hamilton,2016-02-08,ODI # 3735,Team 1
972,South Africa,England,South Africa,7 wickets,Centurion,2016-02-09,ODI # 3736,Team 1
973,South Africa,England,South Africa,1 wicket,Johannesburg,2016-02-12,ODI # 3737,Team 1
974,South Africa,England,South Africa,5 wickets,Cape Town,2016-02-14,ODI # 3738,Team 1
975,West Indies,South Africa,West Indies,4 wickets,Providence,2016-06-03,ODI # 3739,Team 1
976,West Indies,Australia,Australia,6 wickets,Providence,2016-06-05,ODI # 3740,Team 2
977,Australia,South Africa,South Africa,47 runs,Providence,2016-06-07,ODI # 3741,Team 2
978,Zimbabwe,India,India,9 wickets,Harare,2016-06-11,ODI # 3742,Team 2
979,Australia,South Africa,Australia,36 runs,Basseterre,2016-06-11,ODI # 3743,Team 1
980,Zimbabwe,India,India,8 wickets,Harare,2016-06-13,ODI # 3744,Team 2
981,West Indies,Australia,West Indies,4 wickets,Basseterre,2016-06-13,ODI # 3745,Team 1
982,Zimbabwe,India,India,10 wickets,Harare,2016-06-15,ODI # 3746,Team 2
983,West Indies,South Africa,South Africa,139 runs,Basseterre,2016-06-15,ODI # 3747,Team 2
984,Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide),2016-06-16,ODI # 3748,Team 2
985,Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide),2016-06-18,ODI # 3749,Team 2
986,Australia,South Africa,no result,-,Bridgetown,2016-06-19,ODI # 3750,No Result
987,England,Sri Lanka,tied,-,Nottingham,2016-06-21,ODI # 3751,No Result
988,West Indies,Australia,Australia,6 wickets,Bridgetown,2016-06-21,ODI # 3752,Team 2
989,England,Sri Lanka,England,10 wickets,Birmingham,2016-06-24,ODI # 3753,Team 1
990,West Indies,South Africa,West Indies,100 runs,Bridgetown,2016-06-24,ODI # 3754,Team 1
991,England,Sri Lanka,no result,-,Bristol,2016-06-26,ODI # 3755,No Result
992,West Indies,Australia,Australia,58 runs,Bridgetown,2016-06-26,ODI # 3756,Team 2
993,England,Sri Lanka,England,6 wickets,The Oval,2016-06-29,ODI # 3757,Team 1
994,England,Sri Lanka,England,122 runs,Cardiff,2016-07-02,ODI # 3758,Team 1
995,Scotland,Afghanistan,no result,-,Edinburgh,2016-07-04,ODI # 3759,No Result
996,Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh,2016-07-06,ODI # 3760,Team 2
997,Ireland,Afghanistan,Afghanistan,39 runs,Belfast,2016-07-12,ODI # 3761,Team 2
998,Ireland,Afghanistan,Ireland,6 wickets,Belfast,2016-07-14,ODI # 3762,Team 1
999,Ireland,Afghanistan,Afghanistan,79 runs,Belfast,2016-07-17,ODI # 3763,Team 2
1000,Ireland,Afghanistan,Ireland,12 runs,Belfast,2016-07-19,ODI # 3764,Team 1
1001,Scotland,U.A.E.,Scotland,98 runs,Edinburgh,2016-08-14,ODI # 3765,Team 1
1002,Scotland,U.A.E.,Scotland,7 wickets,Edinburgh,2016-08-16,ODI # 3766,Team 1
1003,Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide),2016-08-18,ODI # 3767,Team 2
1004,Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),2016-08-21,ODI # 3768,Team 2
1005,Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS),2016-08-24,ODI # 3769,Team 1
1006,England,Pakistan,England,44 runs,Southampton,2016-08-24,ODI # 3770,Team 1
1007,England,Pakistan,England,4 wickets,Lord's,2016-08-27,ODI # 3771,Team 1
1008,Sri Lanka,Australia,Australia,2 wickets,Dambulla,2016-08-28,ODI # 3772,Team 2
1009,England,Pakistan,England,169 runs,Nottingham,2016-08-30,ODI # 3773,Team 1
1010,Sri Lanka,Australia,Australia,6 wickets,Dambulla,2016-08-31,ODI # 3774,Team 2
1011,England,Pakistan,England,4 wickets,Leeds,2016-09-01,ODI # 3775,Team 1
1012,Sri Lanka,Australia,Australia,5 wickets,Pallekele,2016-09-04,ODI # 3776,Team 2
1013,England,Pakistan,Pakistan,4 wickets,Cardiff,2016-09-04,ODI # 3777,Team 2
1014,Scotland,Hong Kong,no result,-,Edinburgh,2016-09-08,ODI # 3778,No Result
1015,Scotland,Hong Kong,Scotland,53 runs,Edinburgh,2016-09-10,ODI # 3779,Team 1
1016,South Africa,Ireland,South Africa,206 runs,Benoni,2016-09-25,ODI # 3780,Team 1
1017,Bangladesh,Afghanistan,Bangladesh,7 runs,Mirpur,2016-09-25,ODI # 3781,Team 1
1018,Australia,Ireland,Australia,9 wickets,Benoni,2016-09-27,ODI # 3782,Team 1
1019,Bangladesh,Afghanistan,Afghanistan,2 wickets,Mirpur,2016-09-28,ODI # 3783,Team 2
1020,Pakistan,West Indies,Pakistan,111 runs,Sharjah,2016-09-30,ODI # 3784,Team 1
1021,South Africa,Australia,South Africa,6 wickets,Centurion,2016-09-30,ODI # 3785,Team 1
1022,Bangladesh,Afghanistan,Bangladesh,141 runs,Mirpur,2016-10-01,ODI # 3786,Team 1
1023,South Africa,Australia,South Africa,142 runs,Johannesburg,2016-10-02,ODI # 3787,Team 1
1024,Pakistan,West Indies,Pakistan,59 runs,Sharjah,2016-10-02,ODI # 3788,Team 1
1025,Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi,2016-10-05,ODI # 3789,Team 1
1026,South Africa,Australia,South Africa,4 wickets,Durban,2016-10-05,ODI # 3790,Team 1
1027,Bangladesh,England,England,21 runs,Mirpur,2016-10-07,ODI # 3791,Team 2
1028,South Africa,Australia,South Africa,6 wickets,Gqeberha,2016-10-09,ODI # 3792,Team 1
1029,Bangladesh,England,Bangladesh,34 runs,Mirpur,2016-10-09,ODI # 3793,Team 1
1030,Bangladesh,England,England,4 wickets,Chattogram,2016-10-12,ODI # 3794,Team 2
1031,South Africa,Australia,South Africa,31 runs,Cape Town,2016-10-12,ODI # 3795,Team 1
1032,India,New Zealand,India,6 wickets,Dharamsala,2016-10-16,ODI # 3796,Team 1
1033,India,New Zealand,New Zealand,6 runs,Delhi,2016-10-20,ODI # 3797,Team 2
1034,India,New Zealand,India,7 wickets,Mohali,2016-10-23,ODI # 3798,Team 1
1035,India,New Zealand,New Zealand,19 runs,Ranchi,2016-10-26,ODI # 3799,Team 2
1036,India,New Zealand,India,190 runs,Visakhapatnam,2016-10-29,ODI # 3800,Team 1
1037,Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok,2016-11-04,ODI # 3801,Team 1
1038,Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok,2016-11-06,ODI # 3802,Team 2
1039,Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok,2016-11-08,ODI # 3803,Team 1
1040,Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,2016-11-14,ODI # 3804,Team 2
1041,Sri Lanka,West Indies,West Indies,62 runs,Harare,2016-11-16,ODI # 3805,Team 2
1042,Zimbabwe,West Indies,tied,-,Bulawayo,2016-11-19,ODI # 3806,No Result
1043,Zimbabwe,Sri Lanka,no result,-,Bulawayo,2016-11-21,ODI # 3807,No Result
1044,Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo,2016-11-23,ODI # 3808,Team 1
1045,Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo,2016-11-25,ODI # 3809,Team 1
1046,Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo,2016-11-27,ODI # 3810,Team 2
1047,Australia,New Zealand,Australia,68 runs,Sydney,2016-12-04,ODI # 3811,Team 1
1048,Australia,New Zealand,Australia,116 runs,Canberra,2016-12-06,ODI # 3812,Team 1
1049,Australia,New Zealand,Australia,117 runs,Melbourne,2016-12-09,ODI # 3813,Team 1
1050,New Zealand,Bangladesh,New Zealand,77 runs,Christchurch,2016-12-26,ODI # 3814,Team 1
1051,New Zealand,Bangladesh,New Zealand,67 runs,Nelson,2016-12-29,ODI # 3815,Team 1
1052,New Zealand,Bangladesh,New Zealand,8 wickets,Nelson,2016-12-31,ODI # 3816,Team 1
