S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Win Team
148,India,West Indies,India,107 runs,Visakhapatnam,2019-12-18,ODI # 4222,Team 1
149,India,West Indies,India,4 wickets,Cuttack,2019-12-22,ODI # 4223,Team 1
150,Oman,U.A.E.,Oman,5 wickets,Al Amerat,2020-01-05,ODI # 4224,Team 1
151,Namibia,U.A.E.,U.A.E.,8 runs,Al Amerat,2020-01-06,ODI # 4225,Team 2
152,West Indies,Ireland,West Indies,5 wickets,Bridgetown,2020-01-07,ODI # 4226,Team 1
153,Oman,Namibia,Namibia,52 runs,Al Amerat,2020-01-08,ODI # 4227,Team 2
154,Namibia,U.A.E.,U.A.E.,8 wickets,Al Amerat,2020-01-09,ODI # 4228,Team 2
155,West Indies,Ireland,West Indies,1 wicket,Bridgetown,2020-01-09,ODI # 4229,Team 1
156,West Indies,Ireland,West Indies,5 wickets,St George's,2020-01-12,ODI # 4230,Team 1
157,India,Australia,Australia,10 wickets,Wankhede,2020-01-14,ODI # 4231,Team 2
158,India,Australia,India,36 runs,Rajkot,2020-01-17,ODI # 4232,Team 1
159,India,Australia,India,7 wickets,Bengaluru,2020-01-19,ODI # 4233,Team 1
160,South Africa,England,South Africa,7 wickets,Cape Town,2020-02-04,ODI # 4234,Team 1
161,New Zealand,India,New Zealand,4 wickets,Hamilton,2020-02-05,ODI # 4235,Team 1
162,Nepal,Oman,Oman,18 runs,Kirtipur,2020-02-05,ODI # 4236,Team 2
163,Oman,U.S.A.,Oman,6 wickets,Kirtipur,2020-02-06,ODI # 4237,Team 1
164,South Africa,England,no result,-,Durban,2020-02-07,ODI # 4238,No Result
165,New Zealand,India,New Zealand,22 runs,Auckland,2020-02-08,ODI # 4239,Team 1
166,Nepal,U.S.A.,Nepal,35 runs,Kirtipur,2020-02-08,ODI # 4240,Team 1
167,Nepal,Oman,Oman,8 wickets,Kirtipur,2020-02-09,ODI # 4241,Team 2
168,South Africa,England,England,2 wickets,Johannesburg,2020-02-09,ODI # 4242,Team 2
169,New Zealand,India,New Zealand,5 wickets,Mount Maunganui,2020-02-11,ODI # 4243,Team 1
170,Oman,U.S.A.,Oman,92 runs,Kirtipur,2020-02-11,ODI # 4244,Team 1
171,Nepal,U.S.A.,Nepal,8 wickets,Kirtipur,2020-02-12,ODI # 4245,Team 1
172,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (SSC),2020-02-22,ODI # 4246,Team 1
173,Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota,2020-02-26,ODI # 4247,Team 1
174,South Africa,Australia,South Africa,74 runs,Paarl,2020-02-29,ODI # 4248,Team 1
175,Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet,2020-03-01,ODI # 4249,Team 1
176,Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele,2020-03-01,ODI # 4250,Team 1
177,Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet,2020-03-03,ODI # 4251,Team 1
178,South Africa,Australia,South Africa,6 wickets,Bloemfontein,2020-03-04,ODI # 4252,Team 1
179,Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet,2020-03-06,ODI # 4253,Team 1
180,South Africa,Australia,South Africa,6 wickets,Potchefstroom,2020-03-07,ODI # 4254,Team 1
181,Australia,New Zealand,Australia,71 runs,Sydney,2020-03-13,ODI # 4255,Team 1
182,England,Ireland,England,6 wickets,Southampton,2020-07-30,ODI # 4256,Team 1
